Sp,OBV,OBM,ECV,BM,perv,perm,Ord,Clade1,Clade2,Fossil,seq
Ptilocercus_lowii_,1.892428547,-1.092211698,3.222404291,1.656098202,4.6776,0.1785,Scandentia,Scandentia,Scandentia,extant,1
Dendrogale_murina_,1.860682311,-1.123957934,3.147660869,1.653212514,5.1644,0.167,Scandentia,Scandentia,Scandentia,extant,2
Tupaia_picta_,2.271376872,-0.713263373,3.52326119,2.155336037,5.5991,0.1353,Scandentia,Scandentia,Scandentia,extant,3
Tupaia_palawanensis_,2.148602655,-0.83603759,3.442699213,2.141449773,5.0805,0.1053,Scandentia,Scandentia,Scandentia,extant,4
Tupaia_tana_,2.332236415,-0.652403829,3.584966368,2.312388949,5.5882,0.1084,Scandentia,Scandentia,Scandentia,extant,5
Tupaia_minor_,1.894039001,-1.090601244,3.249200804,1.7355989,4.4141,0.1492,Scandentia,Scandentia,Scandentia,extant,6
Tupaia_javanica_,2.00685096,-0.977789284,3.35961923,1.943494516,4.4385,0.1199,Scandentia,Scandentia,Scandentia,extant,7
Tupaia_dorsalis_,2.13155451,-0.853085735,3.391707676,2.038620162,5.4935,0.1283,Scandentia,Scandentia,Scandentia,extant,8
Tupaia_montana_,2.224533063,-0.760107182,3.448698592,2.100370545,5.9681,0.1379,Scandentia,Scandentia,Scandentia,extant,9
Tupaia_gracilis_,2.002900069,-0.981740176,3.345416864,1.82672252,4.5445,0.1554,Scandentia,Scandentia,Scandentia,extant,10
Urogale_everetti_,2.413986714,-0.570653531,3.65610683,2.350248018,5.7264,0.12,Scandentia,Scandentia,Scandentia,extant,11
Tupaia_belangeri_,2.288070283,-0.696569962,3.576261857,2.162564407,5.15,0.1383,Scandentia,Scandentia,Scandentia,extant,12
Tupaia_glis_,2.280350693,-0.704289552,3.537046749,2.182414652,5.5374,0.1298,Scandentia,Scandentia,Scandentia,extant,13
Dendrogale_melanura_,1.806900712,-1.177739532,3.170299861,1.694605199,4.3311,0.1342,Scandentia,Scandentia,Scandentia,extant,14
