Species,first_int,last_int
Ptilocercus_lowii_,10,10
Dendrogale_murina_,10,10
Tupaia_picta_,10,10
Tupaia_palawanensis_,10,10
Tupaia_tana_,10,10
Tupaia_minor_,10,10
Tupaia_javanica_,10,10
Tupaia_dorsalis_,10,10
Tupaia_montana_,10,10
Tupaia_gracilis_,10,10
Urogale_everetti_,10,10
Tupaia_belangeri_,10,10
Tupaia_glis_,10,10
Dendrogale_melanura_,10,10
Galeopterus_variegatus_,10,10
Cynocephalus_volans_,10,10
Nycticebus_pygmaeus_,10,10
Loris_tardigradus_,10,10
Galago_senegalensis_,10,10
Otolemur_crassicaudatus_,10,10
Galagoides_demidovii_,10,10
Euoticus_elegantulus_,10,10
Perodicticus_potto_,10,10
Arctocebus_aureus_,10,10
Daubentonia_madagascariensis_,10,10
Cheirogaleus_major_,10,10
Mirza_coquereli_,10,10
Microcebus_murinus_,10,10
Lepilemur_mustelinus_,10,10
Lemur_catta_,10,10
Hapalemur_griseus_,10,10
Eulemur_fulvus_,10,10
Varecia_variegata_,10,10
Indri_indri_,10,10
Propithecus_diadema_,10,10
Avahi_laniger_,10,10
Pithecia_pithecia_,10,10
Pithecia_monachus_,10,10
Chiropotes_satanas_,10,10
Cacajao_calvus_,10,10
Callicebus_moloch_,10,10
Leontocebus_fuscicollis_,10,10
Saguinus_oedipus_,10,10
Saguinus_midas_,10,10
Cebuella_pygmaea_,10,10
Callithrix_jacchus_,10,10
Mico_argentatus_,10,10
Callimico_goeldii_,10,10
Leontopithecus_rosalia_,10,10
Sapajus_apella_,10,10
Cebus_capucinus_,10,10
Saimiri_sciureus_,10,10
Aotus_trivirgatus_,10,10
Lagothrix_lagotricha_,10,10
Ateles_geoffroyi_,10,10
Alouatta_palliata_,10,10
Alouatta_seniculus_,10,10
Hylobates_lar_,10,10
Pan_troglodytes_,10,10
Homo_sapiens_,10,10
Gorilla_gorilla_,10,10
Pygathrix_nemaeus_,10,10
Nasalis_larvatus_,10,10
Procolobus_badius_,10,10
Lophocebus_albigena_,10,10
Papio_anubis_,10,10
Macaca_mulatta_,10,10
Cercopithecus_mitis_,10,10
Cercopithecus_ascanius_,10,10
Erythrocebus_patas_,10,10
Miopithecus_talapoin_,10,10
Tarsius_tarsier_,10,10
Tarsius_syrichta_,10,10
